,animal,start nontarget go rate,end nontarget go rate,condition
0,BS_86,69.49731882467309,79.10668988581985,opto
1,BS_119,67.24105026626034,92.85255224489408,opto
2,BS_123,63.71297864082688,85.03372548207267,opto
3,BS_128,76.93469726709951,64.6502804624769,opto
4,BS_131,58.05678102517959,84.93859087008113,opto
5,BS_163,74.45824638908756,85.79327637375745,opto
6,BS_174,86.453982734518,97.63220361003805,opto
7,AE_267,83.55326698874589,24.25595238095238,control
8,AO_273,81.7760474601409,54.61538461538461,control
9,AE_287,89.24169195609007,39.067669172932334,control
10,AE_312,76.20417065425035,25.538935026601063,control
